ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Nivel_gravedad,Categoria,Frecuencia_similar,Personas_afectadas,Fecha
946,Juan,51.0,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,No urgente,2024-05-07,1,1,0,LEVE,Salud,1,1,2024-05-07
947,Camilo,37.0,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2023-06-12,1,0,0,GRAVE,Seguridad,1,1,2023-06-12
948,Laura,75.0,F,Manizales,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-05-26,1,0,0,LEVE,Medio Ambiente,1,1,2023-05-26
949,María,42.0,Otro,Manizales,,Seguridad,Urgente,2024-06-06,0,0,1,GRAVE,Seguridad,1,1,2024-06-06
950,Camilo,21.0,M,Pereira,queremos más presencia policial.,Seguridad,Urgente,2024-12-01,1,1,0,GRAVE,Seguridad,1,1,2024-12-01
951,Juan,54.0,M,Cúcuta,queremos más presencia policial.,Medio Ambiente,No urgente,2024-08-22,1,0,1,LEVE,Medio Ambiente,1,1,2024-08-22
952,Camilo,32.0,F,Medellín,hay problemas con la recolección de basura.,Seguridad,No urgente,2024-07-12,0,1,0,LEVE,Seguridad,1,1,2024-07-12
953,Valentina,,Otro,Cali,la contaminación del río está aumentando.,Seguridad,Urgente,2023-10-29,0,1,0,GRAVE,Seguridad,1,1,2023-10-29
954,Jorge,52.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,2024-07-30,1,0,0,GRAVE,Educación,1,1,2024-07-30
955,Carlos,64.0,M,Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2024-08-10,1,1,0,LEVE,Educación,1,1,2024-08-10
956,Pedro,39.0,M,Bogotá,hay problemas con la recolección de basura.,Educación,Urgente,2024-04-15,0,1,0,GRAVE,Educación,1,1,2024-04-15
957,Valentina,49.0,Otro,Bucaramanga,queremos más presencia policial.,Salud,Urgente,2023-11-08,0,1,1,GRAVE,Salud,1,1,2023-11-08
958,Camilo,70.0,M,Bucaramanga,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-02-02,0,0,1,LEVE,Medio Ambiente,1,1,2023-02-02
959,Laura,70.0,M,Cúcuta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-02-01,1,1,1,LEVE,Medio Ambiente,1,1,2023-02-01
960,Valentina,15.0,Otro,Cali,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2024-05-07,1,1,0,LEVE,Seguridad,1,1,2024-05-07
961,Laura,74.0,F,Pereira,queremos más presencia policial.,Salud,No urgente,2023-05-10,0,0,0,LEVE,Salud,1,1,2023-05-10
962,Valentina,17.0,M,Manizales,las basuras no se recogen a tiempo.,Salud,No urgente,2023-07-24,1,0,0,LEVE,Salud,1,1,2023-07-24
963,Ana,25.0,M,Manizales,falta agua potable en varias casas.,Salud,Urgente,2023-02-23,1,1,0,GRAVE,Salud,1,1,2023-02-23
964,Valentina,29.0,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2023-08-23,1,1,1,GRAVE,Salud,1,1,2023-08-23
965,Juan,51.0,F,Bucaramanga,,Educación,Urgente,2023-12-05,1,1,1,GRAVE,Educación,1,1,2023-12-05
966,Camilo,25.0,M,Manizales,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-06-11,0,1,0,GRAVE,Salud,1,1,2023-06-11
967,Valentina,17.0,Otro,Cúcuta,queremos más presencia policial.,Medio Ambiente,No urgente,2023-03-03,1,1,0,LEVE,Medio Ambiente,1,1,2023-03-03
968,Juan,46.0,Otro,Bucaramanga,queremos más presencia policial.,Seguridad,No urgente,2024-03-29,0,0,1,LEVE,Seguridad,1,1,2024-03-29
969,Valentina,40.0,F,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-12-04,1,1,1,LEVE,Medio Ambiente,1,1,2023-12-04
970,Carlos,40.0,,Manizales,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-10-22,1,0,1,LEVE,Seguridad,1,1,2023-10-22
971,Laura,23.0,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-04-01,0,0,0,GRAVE,Educación,1,1,2023-04-01
972,Sofía,76.0,F,Cúcuta,hay problemas con la recolección de basura.,Educación,Urgente,2024-05-16,0,1,1,GRAVE,Educación,1,1,2024-05-16
973,Valentina,37.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-10-31,1,0,1,LEVE,Seguridad,1,1,2023-10-31
974,Ana,19.0,F,Medellín,faltan médicos en el centro de salud.,Salud,No urgente,2024-06-11,0,0,1,LEVE,Salud,1,1,2024-06-11
975,Laura,63.0,Otro,Bogotá,la contaminación del río está aumentando.,Educación,Urgente,2023-06-03,0,1,0,GRAVE,Educación,1,1,2023-06-03
976,Pedro,23.0,F,Cúcuta,falta agua potable en varias casas.,Educación,Urgente,2023-03-01,1,0,1,GRAVE,Educación,1,1,2023-03-01
977,Sofía,79.0,F,Bogotá,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-01-05,1,1,0,LEVE,Seguridad,1,1,2023-01-05
978,Carlos,32.0,F,Cúcuta,la contaminación del río está aumentando.,Educación,No urgente,2023-11-08,0,0,0,LEVE,Educación,1,1,2023-11-08
979,Ana,58.0,M,Manizales,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-03-03,0,1,0,LEVE,Seguridad,1,1,2023-03-03
980,Juan,58.0,,Cali,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-11-23,1,1,0,GRAVE,Salud,1,1,2023-11-23
981,Laura,33.0,F,Manizales,queremos más presencia policial.,Seguridad,Urgente,2023-09-18,1,1,0,GRAVE,Seguridad,1,1,2023-09-18
982,Laura,80.0,M,Medellín,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2024-03-04,0,0,0,GRAVE,Seguridad,1,1,2024-03-04
983,María,25.0,M,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2023-07-10,0,1,0,GRAVE,Salud,1,1,2023-07-10
984,Camilo,74.0,Otro,Cali,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-07-22,1,0,0,GRAVE,Medio Ambiente,1,1,2024-07-22
985,Valentina,44.0,F,Manizales,,Educación,Urgente,2023-04-19,1,0,0,GRAVE,Educación,1,1,2023-04-19
986,Pedro,28.0,M,Bucaramanga,faltan médicos en el centro de salud.,Medio Ambiente,Urgente,2023-03-03,0,0,1,GRAVE,Medio Ambiente,1,1,2023-03-03
987,Valentina,18.0,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-11-14,1,1,1,GRAVE,Medio Ambiente,1,1,2023-11-14
988,Pedro,54.0,M,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-05-04,1,1,1,LEVE,Medio Ambiente,1,1,2024-05-04
989,Camilo,27.0,M,Barranquilla,las basuras no se recogen a tiempo.,Educación,Urgente,2023-02-27,0,0,0,GRAVE,Educación,1,1,2023-02-27
990,Carlos,68.0,Otro,Manizales,falta agua potable en varias casas.,Seguridad,No urgente,2024-11-19,0,0,1,LEVE,Seguridad,1,1,2024-11-19
991,Camilo,70.0,Otro,Cúcuta,falta agua potable en varias casas.,Salud,No urgente,2023-01-13,0,0,1,LEVE,Salud,1,1,2023-01-13
992,Ana,68.0,M,Bogotá,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-10-02,0,0,0,LEVE,Seguridad,1,1,2024-10-02
993,Juan,,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2023-04-06,0,1,0,GRAVE,Salud,1,1,2023-04-06
994,Pedro,22.0,Otro,Manizales,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-08-25,1,1,1,GRAVE,Medio Ambiente,1,1,2023-08-25
995,María,56.0,M,Bucaramanga,la contaminación del río está aumentando.,Educación,Urgente,2023-06-01,1,0,1,GRAVE,Educación,1,1,2023-06-01
996,Ana,32.0,M,Cali,queremos más presencia policial.,Medio Ambiente,No urgente,2024-03-21,1,1,1,LEVE,Medio Ambiente,1,1,2024-03-21
997,Camilo,79.0,M,Cali,las calles están muy oscuras y peligrosas.,Educación,No urgente,2023-09-27,0,0,0,LEVE,Educación,1,1,2023-09-27
998,Camilo,19.0,M,Bogotá,,Salud,Urgente,2023-09-28,0,1,0,GRAVE,Salud,1,1,2023-09-28
999,Pedro,65.0,F,Manizales,las calles están muy oscuras y peligrosas.,Educación,Urgente,2024-04-07,1,0,1,GRAVE,Educación,1,1,2024-04-07
1000,Camilo,50.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Educación,Urgente,2023-09-27,1,1,1,GRAVE,Educación,1,1,2023-09-27
1001,Ana,56.0,Otro,Cali,las basuras no se recogen a tiempo.,Salud,No urgente,2024-08-05,0,1,1,LEVE,Salud,1,1,2024-08-05
1002,Pedro,,Otro,Pereira,no hay suficientes escuelas públicas.,Educación,No urgente,2023-04-05,1,1,1,LEVE,Educación,1,1,2023-04-05
1003,Valentina,38.0,M,Cartagena,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-03-28,1,0,1,LEVE,Salud,1,1,2023-03-28
1004,Carlos,68.0,M,Medellín,queremos más presencia policial.,Educación,Urgente,2023-03-24,1,0,1,GRAVE,Educación,1,1,2023-03-24
1005,Juan,22.0,Otro,Santa Marta,queremos más presencia policial.,Seguridad,Urgente,2023-06-22,0,1,0,GRAVE,Seguridad,1,1,2023-06-22
1006,Pedro,67.0,F,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,2024-02-12,0,1,1,LEVE,Seguridad,1,1,2024-02-12
1007,María,22.0,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2024-01-26,1,1,0,GRAVE,Salud,1,1,2024-01-26
1008,Carlos,33.0,M,Manizales,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-03-22,1,1,0,LEVE,Salud,1,1,2023-03-22
1009,Valentina,24.0,M,Cali,queremos más presencia policial.,Educación,Urgente,2024-02-18,0,1,0,GRAVE,Educación,1,1,2024-02-18
1010,Carlos,47.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2024-05-27,1,0,0,LEVE,Medio Ambiente,1,1,2024-05-27
1011,Laura,66.0,F,Cartagena,hay problemas con la recolección de basura.,Salud,No urgente,2023-11-16,0,0,0,LEVE,Salud,1,1,2023-11-16
1012,Laura,32.0,M,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-01-13,1,1,1,LEVE,Medio Ambiente,1,1,2024-01-13
1013,Sofía,60.0,M,Cartagena,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-06-10,0,1,0,GRAVE,Salud,1,1,2023-06-10
1014,Pedro,64.0,M,Pereira,no hay suficientes escuelas públicas.,Salud,Urgente,2023-03-22,0,1,0,GRAVE,Salud,1,1,2023-03-22
1015,Ana,47.0,F,Bogotá,no hay suficientes escuelas públicas.,Seguridad,No urgente,2023-11-21,0,0,1,LEVE,Seguridad,1,1,2023-11-21
1016,Sofía,63.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Educación,Urgente,2023-07-24,1,0,0,GRAVE,Educación,1,1,2023-07-24
1017,Ana,80.0,Otro,Bogotá,hay problemas con la recolección de basura.,Salud,No urgente,2023-02-08,1,1,1,LEVE,Salud,1,1,2023-02-08
1018,María,,F,Bogotá,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-04-01,0,1,0,LEVE,Seguridad,1,1,2024-04-01
1019,Valentina,25.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-04-02,1,1,0,GRAVE,Medio Ambiente,1,1,2024-04-02
1020,Pedro,79.0,M,Barranquilla,queremos más presencia policial.,Medio Ambiente,No urgente,2024-09-06,1,0,0,LEVE,Medio Ambiente,1,1,2024-09-06
1021,Jorge,32.0,Otro,Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-08-21,1,0,0,LEVE,Medio Ambiente,1,1,2024-08-21
1022,Juan,31.0,,Cúcuta,falta agua potable en varias casas.,Seguridad,Urgente,2024-11-21,1,0,0,GRAVE,Seguridad,1,1,2024-11-21
1023,Sofía,67.0,F,Barranquilla,falta agua potable en varias casas.,Salud,No urgente,2024-04-13,0,1,0,LEVE,Salud,1,1,2024-04-13
1024,Sofía,15.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2023-12-25,0,1,1,GRAVE,Educación,1,1,2023-12-25
1025,Valentina,15.0,F,Cúcuta,las basuras no se recogen a tiempo.,Educación,No urgente,2023-01-12,0,1,0,LEVE,Educación,1,1,2023-01-12
1026,Jorge,25.0,Otro,Medellín,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-09-07,0,1,1,LEVE,Medio Ambiente,1,1,2023-09-07
1027,Sofía,38.0,F,Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-12-24,0,1,1,LEVE,Educación,1,1,2023-12-24
1028,Camilo,60.0,Otro,Medellín,hay problemas con la recolección de basura.,Educación,No urgente,2023-12-16,1,1,0,LEVE,Educación,1,1,2023-12-16
1029,Jorge,70.0,Otro,Cúcuta,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-11-22,1,0,1,LEVE,Seguridad,1,1,2024-11-22
1030,Jorge,63.0,F,Santa Marta,falta agua potable en varias casas.,Seguridad,Urgente,2024-01-21,0,0,0,GRAVE,Seguridad,1,1,2024-01-21
1031,Carlos,25.0,F,Bogotá,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-06-29,1,0,1,GRAVE,Salud,1,1,2023-06-29
1032,María,30.0,F,Pereira,falta agua potable en varias casas.,Salud,No urgente,2023-03-26,1,0,0,LEVE,Salud,1,1,2023-03-26
1033,Juan,71.0,Otro,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-01-29,1,1,1,LEVE,Medio Ambiente,1,1,2023-01-29
1034,Carlos,80.0,F,Manizales,la contaminación del río está aumentando.,Salud,Urgente,2023-06-15,1,1,1,GRAVE,Salud,1,1,2023-06-15
1035,Valentina,,Otro,Santa Marta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-09-20,1,1,1,LEVE,Medio Ambiente,1,1,2023-09-20
1036,Sofía,51.0,M,Pereira,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-05-05,1,0,1,GRAVE,Medio Ambiente,1,1,2023-05-05
1037,Carlos,54.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-07-25,1,0,0,GRAVE,Seguridad,1,1,2023-07-25
1038,Sofía,30.0,F,Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2024-04-23,1,0,1,GRAVE,Medio Ambiente,1,1,2024-04-23
1039,María,40.0,F,Cúcuta,faltan médicos en el centro de salud.,Educación,Urgente,2024-08-03,1,0,1,GRAVE,Educación,1,1,2024-08-03
1040,Camilo,30.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Educación,Urgente,2024-01-26,1,1,0,GRAVE,Educación,1,1,2024-01-26
1041,Laura,51.0,Otro,Cúcuta,queremos más presencia policial.,Seguridad,No urgente,2024-10-14,1,1,1,LEVE,Seguridad,1,1,2024-10-14
1042,María,,Otro,Cúcuta,falta agua potable en varias casas.,Salud,No urgente,2024-09-10,1,0,0,LEVE,Salud,1,1,2024-09-10
1043,Sofía,33.0,,Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2023-02-09,1,1,0,GRAVE,Educación,1,1,2023-02-09
1044,Laura,,Otro,Manizales,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-04-02,0,0,0,GRAVE,Seguridad,1,1,2024-04-02
1045,Camilo,,F,Pereira,queremos más presencia policial.,Seguridad,Urgente,2023-08-10,0,1,1,GRAVE,Seguridad,1,1,2023-08-10
1046,María,29.0,F,Barranquilla,hay problemas con la recolección de basura.,Salud,Urgente,2024-02-14,0,1,0,GRAVE,Salud,1,1,2024-02-14
1047,Juan,41.0,,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-03-30,1,0,1,LEVE,Educación,1,1,2023-03-30
1048,Jorge,30.0,F,Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-02-02,0,1,1,LEVE,Medio Ambiente,1,1,2024-02-02
1049,Camilo,44.0,M,Bucaramanga,las basuras no se recogen a tiempo.,Salud,No urgente,2024-04-17,0,0,0,LEVE,Salud,1,1,2024-04-17
1050,Ana,20.0,M,Medellín,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-01-29,0,0,0,GRAVE,Seguridad,1,1,2024-01-29
1051,Sofía,65.0,Otro,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,No urgente,2024-10-31,1,1,0,LEVE,Educación,1,1,2024-10-31
1052,Carlos,80.0,M,Barranquilla,,Seguridad,No urgente,2023-09-01,0,1,1,LEVE,Seguridad,1,1,2023-09-01
1053,Carlos,62.0,Otro,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-02-24,0,1,0,GRAVE,Medio Ambiente,1,1,2024-02-24
1054,Ana,43.0,M,Bogotá,falta agua potable en varias casas.,Educación,No urgente,2024-04-12,0,1,1,LEVE,Educación,1,1,2024-04-12
1055,Pedro,30.0,F,Medellín,hay problemas con la recolección de basura.,Seguridad,Urgente,2023-01-29,1,1,1,GRAVE,Seguridad,1,1,2023-01-29
1056,Camilo,60.0,Otro,Pereira,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-30,1,0,1,LEVE,Seguridad,1,1,2023-06-30
1057,Ana,50.0,F,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-07-23,1,0,1,GRAVE,Medio Ambiente,1,1,2023-07-23
1058,Pedro,31.0,F,Bogotá,faltan médicos en el centro de salud.,Educación,No urgente,2024-07-02,0,0,1,LEVE,Educación,1,1,2024-07-02
1059,Ana,51.0,,Cúcuta,,Seguridad,Urgente,2023-06-02,1,1,0,GRAVE,Seguridad,1,1,2023-06-02
1060,Juan,,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-05-26,1,1,0,LEVE,Seguridad,1,1,2023-05-26
1061,Jorge,76.0,,Barranquilla,la contaminación del río está aumentando.,Seguridad,Urgente,2023-07-10,1,1,1,GRAVE,Seguridad,1,1,2023-07-10
1062,Carlos,64.0,Otro,Barranquilla,queremos más presencia policial.,Educación,No urgente,2023-03-27,0,1,0,LEVE,Educación,1,1,2023-03-27
1063,Pedro,50.0,F,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-08-14,0,0,0,GRAVE,Medio Ambiente,1,1,2024-08-14
1064,Pedro,75.0,Otro,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-01-26,1,1,1,GRAVE,Medio Ambiente,1,1,2023-01-26
1065,Pedro,23.0,M,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-07-09,0,1,0,LEVE,Seguridad,1,1,2023-07-09
1066,Jorge,63.0,M,Cúcuta,no hay suficientes escuelas públicas.,Seguridad,Urgente,2024-07-20,0,0,1,GRAVE,Seguridad,1,1,2024-07-20
1067,Sofía,79.0,Otro,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-02-16,1,1,1,LEVE,Medio Ambiente,1,1,2023-02-16
1068,Jorge,74.0,M,Manizales,las calles están muy oscuras y peligrosas.,Salud,No urgente,2024-09-10,1,0,1,LEVE,Salud,1,1,2024-09-10
1069,María,60.0,Otro,Pereira,queremos más presencia policial.,Medio Ambiente,No urgente,2023-08-18,0,1,0,LEVE,Medio Ambiente,1,1,2023-08-18
1070,Laura,67.0,Otro,Medellín,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-11-26,1,1,1,LEVE,Medio Ambiente,1,1,2023-11-26
1071,Jorge,77.0,F,Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-10-23,1,1,1,LEVE,Seguridad,1,1,2023-10-23
1072,Pedro,49.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Educación,No urgente,2023-12-25,1,0,0,LEVE,Educación,1,1,2023-12-25
1073,Valentina,47.0,F,Manizales,las basuras no se recogen a tiempo.,Salud,No urgente,2024-05-26,1,0,0,LEVE,Salud,1,1,2024-05-26
1074,Carlos,56.0,F,Bucaramanga,,Medio Ambiente,No urgente,2023-12-10,0,1,0,LEVE,Medio Ambiente,1,1,2023-12-10
1075,Juan,74.0,M,Medellín,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-04-06,0,0,0,GRAVE,Salud,1,1,2023-04-06
1076,Juan,71.0,F,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,No urgente,2023-06-28,1,0,0,LEVE,Seguridad,1,1,2023-06-28
1077,Camilo,,M,Manizales,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-03-09,0,0,1,LEVE,Medio Ambiente,1,1,2023-03-09
1078,María,25.0,,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-03-07,1,0,0,GRAVE,Medio Ambiente,1,1,2023-03-07
1079,Sofía,74.0,,Cali,hay problemas con la recolección de basura.,Salud,Urgente,2024-08-07,0,0,0,GRAVE,Salud,1,1,2024-08-07
1080,Camilo,58.0,F,Manizales,no hay suficientes escuelas públicas.,Salud,No urgente,2023-10-27,1,0,1,LEVE,Salud,1,1,2023-10-27
1081,Jorge,37.0,F,Cúcuta,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-11-20,1,0,0,LEVE,Seguridad,1,1,2024-11-20
1082,Valentina,59.0,F,Barranquilla,la contaminación del río está aumentando.,Seguridad,Urgente,2023-03-06,0,1,1,GRAVE,Seguridad,1,1,2023-03-06
1083,Carlos,49.0,M,Pereira,hay problemas con la recolección de basura.,Salud,Urgente,2024-09-28,0,1,1,GRAVE,Salud,1,1,2024-09-28
1084,Sofía,43.0,Otro,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,2023-06-29,1,1,1,LEVE,Salud,1,1,2023-06-29
1085,Pedro,61.0,Otro,Cali,faltan médicos en el centro de salud.,Educación,No urgente,2024-10-05,0,0,0,LEVE,Educación,1,1,2024-10-05
1086,Sofía,35.0,Otro,Bogotá,faltan médicos en el centro de salud.,Educación,Urgente,2024-06-30,0,0,1,GRAVE,Educación,1,1,2024-06-30
1087,María,48.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-02-15,1,0,1,LEVE,Seguridad,1,1,2024-02-15
1088,Jorge,25.0,F,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-06-22,1,0,1,GRAVE,Salud,1,1,2023-06-22
1089,Juan,45.0,Otro,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-12-01,0,1,0,LEVE,Medio Ambiente,1,1,2023-12-01
1090,María,26.0,M,Cali,no hay suficientes escuelas públicas.,Salud,Urgente,2024-05-09,1,1,0,GRAVE,Salud,1,1,2024-05-09
1091,Sofía,75.0,M,Pereira,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-10-13,1,1,1,LEVE,Medio Ambiente,1,1,2023-10-13
1092,Valentina,33.0,M,Cali,las basuras no se recogen a tiempo.,Educación,Urgente,2024-06-30,0,1,1,GRAVE,Educación,1,1,2024-06-30
1093,Camilo,,,Manizales,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2024-04-13,0,1,1,LEVE,Seguridad,1,1,2024-04-13
1094,Jorge,69.0,M,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,2023-10-26,0,0,0,LEVE,Salud,1,1,2023-10-26
1095,Valentina,22.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-09-27,1,0,0,GRAVE,Medio Ambiente,1,1,2023-09-27
1096,Juan,60.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-03-07,0,0,1,LEVE,Seguridad,1,1,2023-03-07
1097,María,41.0,M,Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-02-04,0,0,1,LEVE,Medio Ambiente,1,1,2024-02-04
1098,Sofía,70.0,M,Bucaramanga,falta agua potable en varias casas.,Educación,Urgente,2024-01-18,0,0,0,GRAVE,Educación,1,1,2024-01-18
1099,Laura,41.0,F,Santa Marta,,Salud,Urgente,2023-02-19,1,1,0,GRAVE,Salud,1,1,2023-02-19
1100,Pedro,56.0,Otro,Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2023-11-26,0,1,1,GRAVE,Medio Ambiente,1,1,2023-11-26
1101,María,29.0,Otro,Bucaramanga,faltan médicos en el centro de salud.,Educación,No urgente,2023-03-02,0,1,0,LEVE,Educación,1,1,2023-03-02
1102,Camilo,,F,Bogotá,,Salud,Urgente,2023-10-15,1,1,1,GRAVE,Salud,1,1,2023-10-15
1103,Carlos,63.0,Otro,Cúcuta,hay problemas con la recolección de basura.,Salud,Urgente,2024-03-03,1,0,0,GRAVE,Salud,1,1,2024-03-03
1104,Valentina,71.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2023-11-28,0,1,1,GRAVE,Salud,1,1,2023-11-28
1105,Camilo,51.0,M,Bucaramanga,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2024-11-12,0,1,1,GRAVE,Seguridad,1,1,2024-11-12
1106,Valentina,40.0,M,Santa Marta,no hay suficientes escuelas públicas.,Educación,Urgente,2024-06-26,1,1,0,GRAVE,Educación,1,1,2024-06-26
1107,Sofía,68.0,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,2023-04-10,0,1,0,GRAVE,Salud,1,1,2023-04-10
1108,Ana,59.0,M,Bogotá,queremos más presencia policial.,Educación,No urgente,2023-04-30,1,0,0,LEVE,Educación,1,1,2023-04-30
1109,Carlos,74.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2024-03-04,0,0,0,GRAVE,Educación,1,1,2024-03-04
1110,Pedro,,F,Bogotá,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-04-12,1,0,0,GRAVE,Medio Ambiente,1,1,2023-04-12
1111,Ana,48.0,,Cartagena,falta agua potable en varias casas.,Medio Ambiente,No urgente,2024-10-22,1,1,0,LEVE,Medio Ambiente,1,1,2024-10-22
1112,María,69.0,M,Barranquilla,falta agua potable en varias casas.,Educación,Urgente,2023-11-25,0,1,0,GRAVE,Educación,1,1,2023-11-25
1113,Pedro,31.0,F,Cúcuta,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-06-24,0,0,0,LEVE,Seguridad,1,1,2023-06-24
1114,Pedro,33.0,Otro,Medellín,queremos más presencia policial.,Medio Ambiente,Urgente,2023-10-27,1,1,1,GRAVE,Medio Ambiente,1,1,2023-10-27
1115,María,72.0,F,Manizales,las calles están muy oscuras y peligrosas.,Educación,No urgente,2023-03-16,0,0,1,LEVE,Educación,1,1,2023-03-16
1116,María,79.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-09-21,0,0,0,LEVE,Medio Ambiente,1,1,2023-09-21
1117,Laura,58.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,No urgente,2023-11-09,0,0,0,LEVE,Salud,1,1,2023-11-09
